N	L	Type	TGTM	Env	ris	sahu	tag	tuk	mar	syang	gha	pra	nar	phu	tangbe-checked	tang	examples
119	1	O	gr	/ᴮ_w	k	Ø	h	ʈ	k,ʈ	k,ʈ	kr	hr	gr	kr,gr	g	g,kʱ,kʰ	buse, milan' TGTM *Bgrwat > phu ¹¹krɛ (??comp Tangbe ³³'¹¹tigaʔ) ;'blé' TGTM *Bgrwa > nar ²³¹grɔ phu ²¹grɔ̆ , Tangbe ⁰⁰goʱ/²²kʱoʱˑ
120	1	O	grw		kw	w	hw	ʈ	k,ʈ	k,g,ʈ	krw	hr		kr			
121	1	O	kl	/_i,e	kl	kl	kʰl,kl	k	hɬ	l	ɬ	k	kl		k	k	feces' TGTM *Akli > Tangbe ⁴⁴kiʔ ;'champ' TGTM *Akle > nar ⁴³kleː (comp *A/Bgle > phu ¹²gle)
122	1	O	kl	/_a	kl	kl	?	kj	lj	lj	ɬ	kj					
123	1	O	kl		kl	kl	kl	kj	lj	lj	ɬ	kj					
124	1	O	kʰl		kʰl	kʰl	kʰl	kʰj	hɬ	ɬj	ɬ	kʰj				kʰj	jeter' Ris ¹khlaː , Tgb kʰjak-
125	1	O	gl	/ᴬ_	kl	kl	hl	kj	lj	?	ɬ	?	kl			kj,kʱj,kʰ	avaler' TGTM *Agloŋ > nar ³³'²²klɔʱŋba
126	1	O	gl	/ᴮ_	kl	kl	kʰl	kj	lj	lj	ɬ	kʰj,k	gl	gl		kj,kʱj,kʰj	place' TGTM *A/Bglaː > nar ¹¹klaʱː , phu ¹¹glaː ;'boeuf' TGTM *Bglap > nar ¹¹glou , phu ¹¹gloː  ;'poumon' TGTM *Bglop/*Bglwap > nar ¹¹'¹⁰globɛ/¹¹¹'¹¹glɔ̆bɛ (comp phu ²¹lŏʱ)
127	1	O	gl	/ᴮ_i,e	kl	kl	kʰl	k	l	l	ɬ	kʰ	gl	gl	kʰ	kʰ	neige' TGTM *Bgliŋ > nar ¹²gliŋ , phu ²¹gliʱŋ , Tangbe ²¹kʱiʱŋ
128	1	O	ts	/_i	ts	ts	ts	ts	tɕ	tʃ	ts	tɕ				ts	
129	1	O	ts		ts	ts	ts	ts	ts	ts	ts	ts				ts	
130	1	O	tsʰ	/_i,j	tsʰ	tsʰ	tsʰ	tsʰ	tɕʰ	tʃʰ	tsʰ	tɕʰ					
131	1	O	tsʰ		tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ		tsh	hotte' TGTM *Atshaŋ > nar ⁵³tshaŋ , Phu ⁵⁴tshăŋ
132	1	O	dz	/ᴬ_	ts	ts	ts,dz	ts	ts	ts	ts	ts				ts,dz,tsʱ	nid' TGTM *Adzaŋ > Tgb tsʱaʱŋ
133	1	O	dz	/ᴮ_	ts	?	ts,dz	ts,s	ts	ts	ts,dz	tsʰ				ts,dz	
134	1	O	tsj		tsj	tsj	tsj	tsj,ts	tɕ,tsj	?	tsj	tɕ					
135	1	O	tsʰj		tsʰj	tsʰj	tsʰj	tsʰj,tsʰ	tɕʰ	?	tsʰj	tɕʰ				tʃhj	marais, mare' TGTM *chjume/i > ris ¹chjumi , Tgb tʃhjumeʔ(i) kju
136	1	O	dzj		tsj	tsj	tsj,dzj	tsj,ts	tɕ,tsj	?	tsj	tɕ					
137	1	O	ʈ		ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ		ʈ	moëlle' TGTM *Aʈaŋ > nar ⁵³ʈaŋ , Phu ⁵⁴ʈaŋ
138	1	O	ʈʰ		ʈʰ	ʈʰ	?	?	?	?	?	?					
139	1	O	ʈ.Hr.ʈʰ		ʈ	ʈ	ʈ	hr=ʰr	hr	hr	r	ʈ	hr	hʃ=hr	hr	hr	sueur' TGTM *Bʈ.Hr.ʈʰuː > nar ⁵⁵hru , Phu ³³hʃu, Tangbe hruk  ;'fil à coudre' TGTM *Bʈ.Hr.ʈʰup > nar ⁵⁵hru , phu ³³²hruː , Tangbe ⁴⁴hrup
140	1	O	ɖ	/ᴬ_	ʈ	ʈ	ʈ,ɖ	ʈ	ʈ	ʈ	ʈ	ʈ				ɖ,ʈ	
141	1	O	ɖ	/ᴮ_	ʈ	ʈ	ʈ	ʈ	ʈ	ɖ	ʈ	ʈʰ	ɖ	ɖ		ɖ,ʈ	six' TGTM *Bɖuː (sauf ris *Bɖu) > nar ²¹²ɖuː , Phu ²¹ɖu(ː)
142	1	I	t		t	t	t	t	t	t	t	t				t	
143	1	I	tʰ	/_a	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ				tʰ=th	
144	1	I	tʰ		tʰ	tʰ	tʰ	tʰ	tʰ	tʰ,t	tʰ,t	tʰ				tʰ=th	
145	1	I	d	/ᴬ_	t	t	t	t	t	t	t	t				d,t	
146	1	I	d	/ᴮ_	t	t	t	t	t	d,t	d,t	tʰ			d	d,t	maison' Tangbe dim
147	1	I	p		p	p	p	p	p	p	p	p				p	
148	1	I	pʰ	/ᴬ_	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ				pʰ=ph,f	
149	1	I	pʰ	/ᴮ_	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ,p	pʰ				pʰ=ph,f	
150	1	I	b	/ᴬ_	p	p	p,b	p	p	p	p	p	p	p	b	b,p	abri de berger' TGTM *Abraŋ > nar ²¹praŋ ;'(pâte à )bière' TGTM *Abap > nar ¹²pɔu / ³²pɔu, 'bière' Phu ¹¹poʱː / ³¹poː , Tangbe ¹⁰bɔʱp
151	1	I	b	/ᴮ_	p	p	p,b	p	p	b	b	pʰ				b,p	
152	1	I	b	/ᴮ_j,r,l	p	p	p	p	p	p	p	pʰ					
153	1	O	pj		pj	pj	pj	pj	pj	pj	pj	pj					
154	1	O	pʰj		pʰj	pʰj	?	pʰj	pʰj	pʰj	pʰj	pʰj					
155	1	O	bj		pj	pj	bj	?	bj	bj	pj,bj	pj,pʰj					
156	1	O	bl	/ᴬ_	pl	pl	pl	pl	pl	pl	pl	pl				p	
157	1	O	bl	/ᴮ_	pl	pl	pl	pl	pl	pl	pl	pʰl				p	
158	1	O	p.ml		pl	pl	?	ml	ml	ml	ml	?					
159	1	O	ʰŋ		ŋ,h,Ø	ŋ,Ø	ŋ,w	ŋ	ŋ,w	ŋ	ŋ,w,Ø	ŋ	ŋ	ŋ		ŋ,n	fontanelle' TGTM *Bʰŋwa > Nar ⁵³ŋɔ , Phu ⁵⁴ŋɔ ;'montrer' TGTM *ʰŋwon- > nar ⁵⁵'³³ŋumbɛ
160	1	O	ʰŋ	/_an	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ɲ					
161	1	O	ʰŋ	/_i,j	ŋ	?	n	ɲ	ɲ	ɲ	n,ŋ	ɲ					
162	1	O	ŋ		ŋ,h̃	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ				n	se coucher' ris ⁴ŋu , Tgb ³³nuko
163	1	O	ŋ	/_i,j	ŋ	?	n	ɲ	ɲ	ɲ	n,ŋ	ɲ	ɲ	ɲ			gencive' TGTM *Aŋil/nil > nar ²³'³²ɲillɛ , phu ¹⁰ɲĭl 
164	1	O	ʰɲ		ŋj	ɲ	ɲ	ɲ,m	?	?	ɲ=ŋj,n,ŋ	ɲ					
165	1	O	ɲ		ŋj	ɲ	ɲ	ɲ	?	?	ɲ=ŋj,n,j	ɲ				j	cuire (ḍheṛo)' TGTM *Aɲo(k) > ris ¹ɲo , Tgb joʱwa
166	1	O	ʰn		n	n	n	n	n	n	n	n		n		n	épi' phu ⁵⁵nam < TGTM *Aʰnam
167	1	O	n		n	n	n	n	n	n	n	n		n		n	pus' .phu ²¹naʱ < TGTM *Anaː
168	1	O	ʰn	/_i,e	n	ɲ	n,ɲ	ɲ,n	ɲ	n,ɲ	n,ɲ	ɲ	ɲ		ɲ,n	ɲ,n	aller' TGTM *Aʰni > nar ⁵⁵'³³ɲiʃje
169	1	O	n	/_i	n	ɲ	n	ɲ=ŋ	ɲ	n	ŋ	ɲ				ɲ,n	
170	1	O	n	/_e	n	ɲ	ɲ	ɲ=ŋj	ɲ	nj,ɲ	ɲ=ŋ	ɲ	ɲ			ɲ	lait' TGTM *Ane > nar ²²'⁴³ɲɛnam
171	1	I	ʰm		m	m	m	m	m	m	m	m				m	
172	1	I	m		m	m	m	m	m	m	m	m				m	
173	1	O	ʰmj		mj	mj	mj	mj	mj	mj	mj	mj				mj	
174	1	O	mj		mj	mj	mj	mj	mj	mj	mj	mj				mj	
175	1	O	ʰml		ml	ml	ml	ml	ml	ml	ml	?	ml	ml		m	noir' TGTM *A/Bʰmlaŋ > nar ⁴³mlaŋ , phu ⁵⁴mlaŋ , Tgb 
176	1	O	ml		ml	ml	ml	ml	ml	ml	ml	?	ml			m,mɾ	riz cru' TGTM *Amla > nar ²¹mlaʱ , Tgb ²²mɾa (pas de var. sans /ɾ/)
276	1	O	ʰmr		mr											m,n	voir' TGTM *Aʰmraŋ > Tgb maŋdze, 'porte' TGTM *Bʰmrap > ris ²mrap , Tgb nʌp; 'mauvaise herbe' TGTM *Bʰmra > Tgb maʔ / mɾaʔ /
177	1	O	ʰj		j	j	j	j	j	j	j	j				j	
178	1	O	j		j	j	j	j	j	j	j	j,Ø		j		j	voleur' TGTM *Bjo (sauf ris *Bjoː) > nar ²³²jo , phu ¹⁰jɔ 
179	1	G	j		j	j	j	j	j	j	j	j,Ø				j	
180	1	G	j	/_at	j	j,Ø	j,Ø	j,Ø	?	Ø	Ø	j				Ø,j	
181	1	O	Hr		hr	r,hr	s	hr=rʰ	hr	hr	r	hr				hr	
182	1	O	ʰr		r	r	r	r	r	r	r	r	r	r		r	chèvre' TGTM *ᴬʰra > nar ⁵⁴ræ, phu ⁵⁴rɛ ;'corne' TGTM *Aʰru > nar ⁵⁴ru , phu ⁴³ru
183	1	O	r		r	r	r	r	r	r	r	r	r	r		r	ami' TGTM *Aro > nar ²¹rɔ , phu ²¹rɔ
184	1	L	r	/P_	r	r	r	r	r	r	r	r	r	r		Ø,r	femme' TGTM *Aʰmriŋ > nar ⁵⁴mriŋ , phu ⁴²mrɯŋ ;'porte' TGTM *Bʰmrap > nar ⁵⁴mrou , phu ³²mroː
185	1	L	r	/P_an	r	r	?	r	Ø	r,Ø,?	Ø	r,Ø,?				Ø,r	
186	1	O	Hl		hl	l	l	hl=lʰ	l,hɬ	hl	l	hl	hɬ,ɬ	hɬ		lh=hl	dieu' TGTM *Aʰla (Tam) / *AHla (TTM sauf Ris) > nar ⁴³ɬæ , phu  ⁴³hɬɛ (= mois) 
187	1	O	ʰl		l	l	l	l	l	hɬ	l	l	l	l		l,lh=hl	dieu aquatique' TGTM *Aʰlu (Tam) > nar ⁵⁴lu , phu ⁴³lu
387	1	O	ʰl	/_i,e	l	l	l	l	l	hɬ	l	l	hɬ,ɬ	hɬ		l,lh=hl	échelle' TGTM *Aʰli (GT) > nar ⁵⁴ɬhɪ phu ⁴³hɬɪ ;'langue (organe)' TGTM *Bʰle > nar ⁵⁴ɬɛ phu ⁴³hɬɛ 
188	1	O	l		l	l	l	l	l	l	l	l	l	l		l	mortier' TGTM *Alaŋ (TTM) > nar ²¹laʱŋ , phu ¹⁰laʱŋ
189	1	L	l		l	l	l	l	l	l	l	l				Ø	
190	1	O	ʰw		w	w	w	w	w	w	w	w				?	
191	1	O	w		w	w	w	w	w	w	w	w				?	
192	1	G	w		w	w	w	w	w	w	w	w				Ø	
193	1	I	s		s	s	s	s	s	s	s	s	s	s		s	étoile' TGTM *Bsar > nar ⁴³'⁵⁴sara , phu ³²sar 
194	1	I	s	/_u	s	s	s	s	s	ʃj	s	s				s	
195	1	I	s	/_i,j,e	s=ʃ	s=sj	ʃ=ʃj	s=sj	ɕ	ʃ	ʃ=s	ʃ=ʃj	ʃ	ʃ		s,ʃ	bois' TGTM *Bsiŋ > nar ⁵⁴ʃiŋ , phu ⁴⁵ʃĩŋ
196	1	O	ɕ		sj	sj	ʃ=ʃj	s=sj	ɕ	ʃ=ʃj	ʃ=s	ʃ=ʃj				sj	
197	1	I	z		s	s	s	s	s	s	s	s				s	
198	1	O	ʑ		sj	sj	ʃ=ʃj	s=sj	ɕ	ʃ=ʃj	ʃ=s	ʃ=ʃj				sj	
199	1	I	h	/_w	h	?	?	Ø	?	?	?	?				h	
200	1	I	h		h	h	h	h	h	h	h	h				h	
201	1	F	k		k	ː	Ø,k	Ø,k	Ø	Ø	Ø	Ø				k	
202	1	V	i	/_k	i	i	i	i	ɤi	ɨ	i	i				i	
203	1	F	t		t	t,ː	?,ː	Ø	?	?	Ø,ː	ː				Ø	
204	1	F	p		p	p	p	p,w	p,Ø	p,Ø	Ø,ː	Ø,ː				p	
205	1	V	a	/_p	a	a	a	ə	o	o	a	e				a	
206	1	V	o	/_p	o	o	o	ə	ʌ	o	o,u	o				o	
207	1	V	u	/_p	u	u	?	u	?	?	u	u				u	
208	1	F	l		l	l	l	l	l	?	Ø,ː	l				l	
209	1	F	s		s	s	s	s	?	?	?	ː				r,s,Ø	
387	1	O	ʰl	/_i,e	l	l	l	l	l	hɬ	l	l	hɬ,ɬ	hɬ		l,lh=hl	échelle' TGTM *Aʰli (GT) > nar ⁵⁴ɬhɪ phu ⁴³hɬɪ ;'langue (organe)' TGTM *Bʰle > nar ⁵⁴ɬɛ phu ⁴³hɬɛ 
