pk initiale,pk rime,coda,khaling1,rime,meaning,ps,khaling2,meaning,wambule,meaning,limbu1,meaning,limbu2,meaning,bantawa,meaning,Tibetan,Japhug,other
n,urs,rs,,,,,,,nur (vm),"to be sprained, to be twisted",nuˀr,"to be sprained, to be dislocated.",,,,,,,
kw,ɑ,rt,koɔr,or,wound,n,,,ɓari,wound (n),kha:nt,wound,,,,,,,
h,urt,rt,ɦurt,urt,fan,vt,,,hurt,"fan, row (boat)",,,,,,,,,
kh,or,rt,khor,or,"parch, fry",vt,,,khart,fry,,,,,,,,,
ŋ,ɔs,s,,,,,,,,,nɔ,"to stir-fry, to pop (corn)",,,ŋoma (ŋosu),fry dry,rŋo,rŋu,
ʔ,is,s,ʔi,i,get angry,vi,,,,,,,,,ʔɨs,be bad,,,
kh,es,s,khe,e,steal,vlab,,,,,,,,,kʰɨma (kʰɨsu),steal,,,
ŋ,is,s,ŋi,i,hear,vt,,,,,nis,"to see, to know",,,,,,,
p,e/is,s,pi,i,fart,vi,,,,,phes,fart,pheˀr ,fart at,"bʰema, bʰesu",fart,,,
l,es,s,le,e,to have intercourse,vt,,,lij,masturbate,,,,,lɨma (lɨsu),to have intercourse,,,
phl,ɑs,s,phlo,o,help,vt,,,,,phaˀr,help,,,pʰama (pʰasu),"to help, assist",,,metathesis
ts,u/os,s,ʦu,u,be spicy,vi,,,su,"be hot, spicy",sos,"to be rich in taste (of pork, walnuts)",,,,,,,
r/j,a,s,,,,,,,,,,,,,yama (yasu),to tickle,gja,rɤʑa,癢
g,is,s,,,,,,,,,kis,to be afraid,kit,fear,"kɨma, kɨsa ; kitma (kittu) vt (middle)",to be afraid,,,
s,u/os,s,su,u,itch,vi,,,,,sos,itch,,,"suma, susa",itch,,,
tsh,us,s,ʦhu,u,be late,vi,,,,,sus,to be late ,,,,,,,
kh,u/ott,t,khutt,utt,comb,vt,,,,,khott,comb,,,kʰɨtma (kʰɨttu),comb,,,
ʔ,a/et,t,ʔɛt,ɛt,say,vt,,,,,,,,,etma (ettu),tell,,,
s,o,t,sot,ot,lose,vi,,,swaj,"lose, be defeated",,,,,,,,,
p,ɑtt,t,pott,ott,blossom,vt-i,,,bwaj,"to flower, swell, thrive",,,,,"batma, bara",bloom,,,
m,ɑ:t,t,mot,ot,be finished (food),vlab,,,,,maːt,"to be finished, to run out",,,,,,,
kh,ɑt,t,khot,ot,go,vi,khott,take away,khwaj,"follow, go after",,,,,kʰatma (kʰara),go,,,
dz,it,t,ʣhit,it,be wet,vi,ʣhitt,soak,jit,"make wet, moisten",,,,,,,,,
k,at,t,kɛt,ɛt,bite,vt,,,krat,"bite with molar, gnaw",,,,,,,,,
bl,a:t,t,blɛtt,ɛtt,"tell, explain",vt,,,,,paːt,to speak,,,,,,,
m,it,t,mit,it,die,vi,,,,,,,,,,,,,滅
s,e/ɛt,t,set,et,kill,vt,,,syat,kill,sɛt,kill,,"setma, sera",,,"gsod, bsad",sat,
r,e/it,t,ret,et,laugh,vi,rett,laugh at,rya,be malicious,et,laugh,ett,laugh at,"ima, iya",laugh,,tɤ-re,
,,,phut,ut,take off,vt,,,,,,,,,,,"ɴbud, bud",phɯt,
l,ut ~ ʊt,t,lut,ut,tell,vt,,,,,,,,,lutma (luttu),to tell (of a story,,,
t,ɑt,t,tot,ot,be visible,vi,,,,,,,,,"datma, dara",be seen,,,
br,ɑt,t,bhrot,ot,shout,vi,,,,,,,,,"patma, para / butma (buttu) « to call »","to cry out, to shout","ɴbod, bos",,
w,a:t,t,,,,,,,,,waːt,to wear (an ornament),,,watma (waru),"to put on (as of ornaments), to wear jewelry; to give (as of names)",(gos),ŋga,
l,an/at,t,lɛn,ɛn,come out,vt,lɛnt,take out ,,,,,,,latma (laru) vt,to take out,,,
l,ɛt,t,let,et,release,vi,,,,,lɛt,"to leave, to abandon, to release",,,letma (leru),"to leave, to let go, to release",,lɤt,
m,at,t,,,,,,,mat,forget,,,,,manma,forget,,,
p,ott,t,pott,ott,tie up,vt,,,pwat,tie up,,,,,,,,,
h,ut,t,ɦut,ut,burn,vi,ɦutt,burn (tr),,,,,,,"hɨtma, hɨttu",burn,,,
ŋ,e,t,ŋet,et,hurt,vi,,,nyat,hurt,,,,,netma (nettu),"to disturb, irritate, annoy. ",,,
m,ɛtt,t,,,causative,vt,,,,,mɛtt,"to do, to do sth. to",,,metma (mettu),causative,,,
k/kh,u:tt,t,,,,,,,khus,theft (n),khuːtt,steal,,,,,rku,mɯrkɯ,
m,u:tt,tt,,,,,,,,,muːtt,blow,,,mutma (muttu),to blow,,ɣɤmɯt,
h,u:k,k,ɦuk,uk,bark,vi,,,huk,"shout, cry, bark",,,uːkt,"to roar (of a tiger), to thunder","hukma, hukta",bark,,,
bl,ut,t,bhlitt,itt,boil,vt-i,,,,,puːtt,to boil over,,,putma (puttu),"to boil over, steam",,,
,,,ɦok,ok,peel off,vlab,,,,,aːks,"to uproot, to pull out",ɔk,"to come unstuck, to come loose (e.g. a rock from a slope)",ukma (uu),to peel,,,
,,,jakt,akt,strike,vt,,,,,hakt,"to strike, to kick, to stamp",,,,,,,???initial
,,,,,,,,,,,thaps,"to throw down (e.g. in wrestling), to thresh (by holding the end of the stalk and beating the ear of grain against the ground)",,,dʰamma (dʰamsu),to throw to the ground.,,,
,,,tsikt,ikt,know,vt,,,,,sukt,to be able ,,,,,,,
,,,noŋt,oŋt,accuse,vt,,,,,,,,,,,noŋs,,
,,,,,,,,,,,cups,"assemble, gather (vi)",,,jʰumt,"gather, meet together (vi)",,,
,,,dott,ott,take (from above),vt,,,,,,,,,,,,,
,,,,,,,,,,,suːt,"to finish, to have already",,,citma (cittu),"to finish, to finalise",,,卒
,,,tshop,op,gather into a bundle,vt,,,,,sups,"to collect together, to gather",,,tʰupma (tʰuu,to hang up in a clump; make a stand for plants.,,,
,,,,,,,,,,,,,,,"baŋma, baŋtu","weave, to make",,pɣo,紡
,,,pu,u,dry on smoke,vt,,,,,,,,,,,,pu ou spɯ,
,,,rakt,akt,"make someone gag, choke on",vt-i ,,,,,,,,,,,,raʁ,
,,,,,,,,,,,,,,,"cʰuma, cʰusa",be fat,tsho,tshu,
,,,ɦel,el,divert water,vt,,,,,,,,,,,,, < Nepali helnu
,,,ŋok,ok,cry,vi,,,,,,,,,,,ŋu,ɣɤwu,
,,,khri,i,help to walk from behing (a child),vt,,,,,,,,,,,ɴkʰrid,,
,,,khekt,ekt,hang,vt,,,,,,,,,kɨŋma (kɨŋsu) vt (middle),"hang, hang up",,,
,,,ʔopt,op,rise (sun),Vt-i,,,,,,,,,upma (uptu),to shine with light,,,
,,,rukt,ukt,shake out (with a downward motion),vt,,,,,yɔks,"to shake, to swing, to rock, to sieve",,,,,,,
,,,,,,,,,,,naˀr,"to desist from, to stop",,,,,ɲal,nɯna,
,,,ʣhoŋ,oŋ,plough,vt,,,,,toks,plough,,,cʰoma (cʰou),plough,,,
,,,,,,,,,li,"weigh, be heavy",,,,,,,ldʑid.po,rʑi,
ph,ɛnt,nt,,,,,,,,,phɛnt,"undo, take off (clothing)",,,pʰenma (pʰentu),to untie,,,
